id,host_id,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,review_scores_rating,instant_bookable,super_host
44141754,343260629,0.0,1,1,Shinjuku Ku,35.71363,139.69702,Entire home/apt,3,1 bath,1.0,1.0,9714.0,1,100.0,1,1
44141803,343260629,0.0,1,1,Shinjuku Ku,35.71349,139.69715,Entire home/apt,3,1 bath,1.0,1.0,9714.0,2,90.0,1,1
44141835,49146494,15.0,1,1,Katsushika Ku,35.73925,139.84953,Private room,9,1 private bath,3.0,8.0,12065.0,1,100.0,0,1
44141848,343260629,0.0,1,1,Shinjuku Ku,35.71538,139.69922,Entire home/apt,3,1 bath,1.0,1.0,9857.0,2,100.0,1,1
44141880,343260629,0.0,1,1,Shinjuku Ku,35.71418,139.69746,Entire home/apt,3,1 bath,1.0,1.0,9714.0,4,100.0,1,1
44141919,343260629,0.0,1,1,Shinjuku Ku,35.71574,139.69908,Entire home/apt,3,1 bath,1.0,1.0,9714.0,3,100.0,1,1
44141955,343260629,0.0,1,1,Shinjuku Ku,35.71377,139.69854,Entire home/apt,3,1 bath,1.0,1.0,9714.0,0,,1,1
44141995,343260629,0.0,1,1,Shinjuku Ku,35.71478,139.69719,Entire home/apt,3,1 bath,1.0,1.0,9714.0,1,100.0,1,1
44142035,343260629,0.0,1,1,Shinjuku Ku,35.71543,139.69704,Entire home/apt,3,1 bath,1.0,1.0,9714.0,2,80.0,1,1
44142347,343260629,0.0,1,1,Shinjuku Ku,35.71413,139.69735,Entire home/apt,3,1 bath,1.0,1.0,9714.0,0,,1,1
44142613,343260789,0.0,1,1,Shinjuku Ku,35.71347,139.69798,Entire home/apt,3,1 bath,1.0,1.0,9714.0,2,100.0,1,0
44142673,343260789,0.0,1,1,Shinjuku Ku,35.7127,139.69804,Entire home/apt,3,1 bath,1.0,1.0,9714.0,1,100.0,1,0
44142719,343260789,0.0,1,1,Shinjuku Ku,35.71475,139.69945,Entire home/apt,3,1 bath,1.0,1.0,9714.0,1,60.0,1,0
44142770,343260789,0.0,1,1,Shinjuku Ku,35.7127,139.69754,Entire home/apt,3,1 bath,1.0,1.0,9714.0,1,100.0,1,0
44142802,343260789,0.0,1,1,Shinjuku Ku,35.71282,139.69758,Entire home/apt,3,1 bath,1.0,1.0,9714.0,0,,1,0
44142846,343260789,0.0,1,1,Shinjuku Ku,35.71422,139.69934,Entire home/apt,3,1 bath,1.0,1.0,9714.0,4,95.0,1,0
44142881,343260789,0.0,1,1,Shinjuku Ku,35.71493,139.6987,Entire home/apt,3,1 bath,1.0,1.0,9714.0,1,60.0,1,0
44142929,343260789,0.0,1,1,Shinjuku Ku,35.71295,139.69798,Entire home/apt,3,1 bath,1.0,1.0,9714.0,1,100.0,1,0
44142955,343260789,0.0,1,1,Shinjuku Ku,35.71286,139.69892,Entire home/apt,3,1 bath,1.0,1.0,10000.0,1,80.0,1,0
44142989,343260789,0.0,1,1,Shinjuku Ku,35.71287,139.69861,Entire home/apt,3,1 bath,1.0,1.0,9714.0,2,100.0,1,0
44143108,343260789,0.0,1,1,Shinjuku Ku,35.71295,139.69889,Entire home/apt,3,1 bath,1.0,1.0,9714.0,3,100.0,1,0
44143484,343260789,0.0,1,1,Shinjuku Ku,35.71337,139.69916,Entire home/apt,3,1 bath,1.0,1.0,9714.0,2,80.0,1,0
44143524,343260789,0.0,1,1,Shinjuku Ku,35.71491,139.69728,Entire home/apt,3,1 bath,1.0,1.0,9714.0,1,100.0,1,0
44154316,352412571,0.0,1,1,Edogawa Ku,35.70596,139.8429,Private room,4,1 private bath,1.0,4.0,2600.0,7,100.0,0,1
44156190,351115054,3.0,1,1,Sumida Ku,35.69488,139.79337,Entire home/apt,6,1 bath,2.0,4.0,6000.0,3,60.0,1,0
44157166,355337127,0.0,1,0,Edogawa Ku,35.66581,139.85609,Entire home/apt,4,1 bath,1.0,4.0,8443.0,0,,0,1
44157189,355325802,0.0,1,0,Minato Ku,35.65833,139.75414,Entire home/apt,4,1 bath,1.0,4.0,11714.0,2,100.0,0,1
44157333,355337127,0.0,1,0,Edogawa Ku,35.66542,139.85663,Entire home/apt,2,1 bath,1.0,1.0,8443.0,0,,1,1
44157495,355337127,0.0,1,0,Edogawa Ku,35.66476,139.85691,Entire home/apt,4,1 bath,1.0,4.0,38000.0,2,100.0,0,1
44157531,355337127,0.0,1,0,Edogawa Ku,35.66503,139.85622,Entire home/apt,2,1 bath,1.0,2.0,9031.0,4,95.0,1,1
44157558,355325802,0.0,1,0,Minato Ku,35.65778,139.75232,Entire home/apt,2,1 bath,1.0,2.0,10429.0,13,97.0,1,1
44158052,150370604,,,,Setagaya Ku,35.66155,139.67032,Entire home/apt,4,1 bath,,1.0,5780.0,3,100.0,1,1
44158060,353904575,0.0,1,1,Shibuya Ku,35.65729,139.70498,Entire home/apt,4,1 bath,1.0,2.0,4250.0,21,89.0,1,0
